view_name,priority,anon_grant,authenticated_grant,public_grant,service_role_grant,reloptions
ops_artifact_build_progress,P2_admin,f,f,f,f,""
ops_auto_healable_reports,P2_admin,f,f,f,f,""
ops_auto_publish_false_success,P2_admin,f,f,f,f,""
ops_batch_complete_drift,P2_admin,f,f,f,f,""
ops_block_classification,P2_admin,f,f,f,f,""
ops_blocked_but_ready,P2_admin,f,f,f,f,""
ops_blocked_packages,P2_admin,f,f,f,f,""
ops_blocked_without_reason,P2_admin,f,f,f,f,""
ops_blueprint_coverage_diff,P2_admin,f,f,f,f,""
ops_build_activity_truth,P2_admin,f,f,f,f,""
ops_building_without_job_or_lease,P2_admin,f,f,f,f,""
ops_council_churn_loops,P2_admin,f,f,f,f,""
ops_curriculum_quality_dashboard,P2_admin,f,f,f,f,""
ops_drift_finder,P2_admin,f,f,f,f,""
ops_exam_pool_promotion_blocked,P2_admin,f,f,f,f,""
ops_finalization_stall,P2_admin,f,f,f,f,""
ops_ghost_completion_monitor,P2_admin,f,f,f,f,""
ops_governance_consistency,P2_admin,f,f,f,f,""
ops_guard_threshold_rejections,P2_admin,f,f,f,f,""
ops_hard_blocked_reports,P2_admin,f,f,f,f,""
ops_hollow_completion,P2_admin,f,f,f,f,""
ops_integrity_contract_violations,P2_admin,f,f,f,f,""
ops_integrity_gate_drift,P2_admin,f,f,f,f,""
ops_integrity_report_mismatch,P2_admin,f,f,f,f,""
ops_job_queue_rollup,P2_admin,f,f,f,f,""
ops_jobtype_step_map,P2_admin,f,f,f,f,""
ops_learner_visible_readiness,P2_admin,f,f,f,f,""
ops_learning_content_deadlock_candidates,P2_admin,f,f,f,f,""
ops_learning_content_shard_liveness,P2_admin,f,f,f,f,""
ops_legacy_package_audit,P2_admin,f,f,f,f,""
ops_missing_step_backbone,P2_admin,f,f,f,f,""
ops_non_building_recoverable,P2_admin,f,f,f,f,""
ops_open_forensic_reports,P2_admin,f,f,f,f,""
ops_orphan_draft_questions,P2_admin,f,f,f,f,""
ops_orphan_step_audit,P2_admin,f,f,f,f,""
ops_package_baseline_v1,P2_admin,f,f,f,f,""
ops_package_blockers,P2_admin,f,f,f,f,""
ops_package_content_depth,P2_admin,f,f,f,f,""
ops_package_downstream_missing,P2_admin,f,f,f,f,""
ops_package_effective_state_v1,P2_admin,f,f,f,f,""
ops_package_qc_matrix,P2_admin,f,f,f,f,""
ops_package_readiness,P2_admin,f,f,f,f,""
ops_package_step_readiness,P2_admin,f,f,f,f,""
ops_param_set_utilization,P2_admin,f,f,f,f,""
ops_phantom_council_approvals,P2_admin,f,f,f,f,""
ops_phantom_done_governance,P2_admin,f,f,f,f,""
ops_phantom_step_drift,P2_admin,f,f,f,f,""
ops_pipeline_map,P2_admin,f,f,f,f,""
ops_pipeline_step_drift,P2_admin,f,f,f,f,""
ops_publish_eligible_but_stuck,P2_admin,f,f,f,f,""
ops_queued_step_without_job,P2_admin,f,f,f,f,""
ops_recovery_impact,P2_admin,f,f,f,f,""
ops_ssot_step_drift,P2_admin,f,f,f,f,""
ops_stale_council_sessions,P2_admin,f,f,f,f,""
ops_stalled_builds,P2_admin,f,f,f,f,""
ops_step_dag_drift,P2_admin,f,f,f,f,""
ops_step_done_below_threshold,P2_admin,f,f,f,f,""
ops_step_finalizability,P2_admin,f,f,f,f,""
ops_step_mapping_drift,P2_admin,f,f,f,f,""
ops_step_ssot_drift,P2_admin,f,f,f,f,""
ops_telemetry_integrity,P2_admin,f,f,f,f,""
ops_telemetry_lineage,P2_admin,f,f,f,f,""
ops_validate_before_generate_drift,P2_admin,f,f,f,f,""
ops_validate_exam_pool_fail_classification,P2_admin,f,f,f,f,""
ops_validate_exam_pool_progress,P2_admin,f,f,f,f,""
ops_validate_exam_pool_status,P2_admin,f,f,f,f,""
v_admin_auto_test_queue,P2_admin,f,f,f,f,""
v_admin_auto_test_queue_v2,P2_admin,f,f,f,f,""
v_admin_content_quality_findings,P2_admin,f,f,f,f,""
v_admin_content_quality_packages,P2_admin,f,f,f,f,""
v_admin_course_test_priority,P2_admin,f,f,f,f,""
v_admin_course_test_run_latest,P2_admin,f,f,f,f,""
v_admin_effective_track,P2_admin,f,f,f,f,""
v_admin_growth_overview,P2_admin,f,f,f,f,""
v_admin_heal_cockpit,P2_admin,f,f,f,f,""
v_admin_humor_qc,P2_admin,f,f,f,f,""
v_admin_morning_briefing,P2_admin,f,f,f,f,""
